car_vin,car_registration_number,car_maker,car_model,car_color,car_release_year,car_cur_value,contract_code,categoryID
3C63DPBL8CG729260,SUI4399,Mazda,626,Indigo,1987,"€26598,08",J3E00XU0BSBV1,C734Q
WBA3C1C55CA769865,QNK0929,Hyundai,Azera,Orange,2012,"€22393,46",O3H66PK6KXSA0,C868Z
5FNYF3H2XAB372750,XWI3235,Hummer,H3,Mauv,2009,"€29233,55",S0A25MI8OILL3,C466Q
1G6DM57T760731748,XMX3812,Lincoln,Town Car,Turquoise,1996,"€53889,49",G4C84RU7QTFQ6,C150A
2G4WS52J441634120,FNN9020,Suzuki,XL-7,Green,2004,"€15172,35",R2M57DF3KSII9,C049U
WBAFU7C5XDD334952,SSM3847,Buick,LeSabre,Khaki,2003,"€31625,83",D7M11GR5KYKU3,C559P
WBAVB73517K858122,IJU8289,Dodge,D350 Club,Teal,1993,"€31687,58",P0E36AM6ZUOY0,C775J
1GYFK16259R260979,MXC5345,Ford,Windstar,Yellow,2000,"€99277,68",Z5X49SB4KYYP5,C174N
3VWF17AT5FM256811,ETK2799,Nissan,Sentra,Pink,2003,"€61154,75",H2M93NL9RYXN9,C815Z
1N4AL2AP6CN306474,DMM4880,Chevrolet,Colorado,Mauv,2007,"€11029,90",H7Q64LI8MYHC4,C077C
SCFEFBAC9AG379051,BDC3107,Ford,Contour,Teal,1995,"€34346,66",X2S90EQ0OGUB6,C542O
WAUDH98E48A046304,WFZ9195,Saab,09-Mar,Aquamarine,2002,"€89533,55",C4R02LO2MBRF9,C868I
5N1AA0NC8CN024845,EOP1058,Land Rover,Range Rover,Indigo,2011,"€56013,42",D6T09FO9ZBTK4,C514W
SCFFDEDN9CG076511,JXS6933,Mitsubishi,Pajero,Indigo,1994,"€57413,19",U2Z46NQ8MLJY4,C855W
WP0CA2A89BS640029,YHS3869,Chevrolet,Monte Carlo,Yellow,1999,"€75460,27",D0S69OB6COEU8,C516I
SCFEBBAC3AG187264,ROY4087,Ford,Explorer Sport,Red,2001,"€12980,31",J9G98UO2MXPG7,C447N
WBAYM1C55ED596224,OYU8554,Porsche,911,Green,2000,"€19235,45",L3B25GY3UFNA5,C472J
WAUBFAFL3EA008235,YQI6776,Pontiac,Sunfire,Red,1995,"€28343,98",E2Y03UJ4WYPO1,C654H
2FMPK3K99FB807879,VNC6135,Dodge,Ram 2500,Aquamarine,2006,"€56526,32",K9J24XU2XMJP0,C352T
WAUJT58E84A675763,LOK1016,BMW,Z8,Red,2000,"€59891,10",F2O58WG2OHFF4,C011X
1G6KF54913U422775,QIV6533,Lamborghini,Gallardo,Khaki,2011,"€83870,02",M4U15SF3YHAK9,C703A
4T1BD1FK4CU973421,LMC5563,Hyundai,Veracruz,Pink,2009,"€9377,28",J0U99AY1ADLU9,C783L
